1607060306.728240,p,7,bicycle,1
1607060306.794919,p,12,bicycle,5
1607060306.861579,p,18,bicycle,6
1607060306.928240,p,25,bicycle,8
1607060306.994889,p,28,bicycle,10
1607060307.061559,p,32,bicycle,13
1607060307.128220,p,37,bicycle,17
1607060307.194860,p,43,bicycle,17
1607060307.261529,p,48,bicycle,18
1607060307.328190,p,54,bicycle,18
1607060307.394860,p,58,bicycle,19
1607060307.461529,p,64,bicycle,19
1607060307.528189,p,69,bicycle,20
1607060307.594850,p,75,bicycle,22
1607060307.661530,p,79,bicycle,23
1607060307.728189,p,85,bicycle,24
1607060307.794849,p,89,bicycle,25
1607060307.861520,p,93,bicycle,26
1607060307.928190,p,96,bicycle,27
1607060307.994849,p,100,bicycle,29
1607060308.061520,p,107,bicycle,31
1607060308.128190,p,110,bicycle,35
1607060308.194849,p,115,bicycle,37
1607060308.261519,p,122,bicycle,39
1607060308.328190,p,128,bicycle,44
1607060308.394850,p,134,bicycle,46
1607060308.461509,p,136,bicycle,50
1607060308.528189,p,139,bicycle,52
1607060308.594850,p,142,bicycle,54
1607060308.661510,p,146,bicycle,56
1607060308.728179,p,148,bicycle,59
1607060308.794849,p,151,bicycle,62
1607060308.861510,p,152,bicycle,64
1607060308.928200,p,157,bicycle,65
1607060308.994869,p,162,bicycle,66
1607060309.061529,p,167,bicycle,67
1607060309.128230,p,171,bicycle,68
1607060309.194900,p,176,bicycle,69
1607060309.261559,p,179,bicycle,70
1607060309.328219,p,185,bicycle,73
1607060309.394900,p,193,bicycle,74
1607060309.461560,p,199,bicycle,75
1607060309.528219,p,205,bicycle,77
1607060309.594860,p,212,bicycle,78
1607060309.661530,p,220,bicycle,79
1607060309.728189,p,225,bicycle,80
1607060309.794859,p,233,bicycle,80
1607060309.861530,p,242,bicycle,82
1607060309.928190,p,248,bicycle,83
1607060309.994859,p,255,bicycle,85
1607060310.061529,p,262,bicycle,86
1607060310.128170,p,270,bicycle,88
1607060310.194829,p,275,bicycle,90
1607060310.261509,p,280,bicycle,91
1607060310.328170,p,285,bicycle,92
1607060310.394830,p,288,bicycle,93
1607060310.461499,p,292,bicycle,95
1607060310.528169,p,295,bicycle,98
1607060310.594830,p,299,bicycle,98
1607060310.661500,p,303,bicycle,99
1607060310.728169,p,307,bicycle,100
1607060310.794830,p,311,bicycle,100
1607060310.861500,p,314,bicycle,101
1607060310.928169,p,317,bicycle,102
1607060310.994849,p,321,bicycle,102
1607060311.061510,p,323,bicycle,102
1607060311.128220,p,327,bicycle,102
1607060311.194880,p,331,bicycle,102
1607060311.261539,p,335,bicycle,102
1607060311.328209,p,338,bicycle,102
1607060311.394900,p,342,bicycle,102
