img_timestamp,classes,confidences,boxes1607060306.728240,[0 0 0 0 0 0 0 1],[0.99351436 0.9876877  0.9792991  0.97363496 0.9562656  0.92687553 0.9115493  0.9505005 ],[117 121  57 151 116 128  59 138 220 163  27  61 218 162  28  62 457 147   32 109 219 165  28  54 301 178  13  35 114 185  60  98]
1607060306.794919,[0 0 0 0 0 1 1 1 1],[0.98914415 0.98702914 0.9825543  0.9285936  0.91941065 0.9727041 0.92449623 0.9221584  0.9182278 ],[215 160  28  64 106 121  61 149 100 115  67 159 457 146  31 110 299 176   14  36 102 178  68 111 494 180  46  72 491 181  52  73 214 198  25  39]
1607060306.861579,[0 0 0 0 0 0 1],[0.9859888  0.98179394 0.9726113  0.9349245  0.931444   0.9175079 0.90632576],[ 93 113  62 169 458 148  30 110 210 161  28  69  91 118  66 157 297 179   14  37 392 174  40  60  85 191  77 102]
1607060306.928240,[0 0 0 0 0 0 0 1 1],[0.99286425 0.97535837 0.9484602  0.9378275  0.93027306 0.91777706 0.90557075 0.9340102  0.9086333 ],[ 77 108  70 168 458 145  30 112  77 112  70 151  75 107  70 160 205 160   28  66 201 160  33  67 395 175  39  59  70 181  79 120  70 194  81 105]
1607060306.994889,[0 0 0 1 1],[0.9905349  0.9844554  0.9815343  0.96966904 0.90749377],[199 159  30  77 459 146  30 112  61 104  74 174  52 177  85 131 296 196   10  23]
1607060307.061559,[0 0 0 0 1 1 1],[0.9902377  0.9833021  0.9823865  0.9401923  0.9617088  0.94220114 0.937615  ],[198 158  29  79  46  97  77 193 460 147  31 112 293 176  14  40  33 181   97 131  34 173  94 142 295 196  11  23]
1607060307.128220,[0 0 0 0 0 1 1 1 1],[0.9923897  0.9848115  0.96445423 0.96354145 0.9493062  0.945211 0.92739034 0.9018743  0.9013309 ],[192 153  30  83 461 146  30 112  29  88  79 197  26  91  80 205  28  92   76 188   6 179 114 137  11 175 106 144   7 193 115 129 294 195  11  23]
1607060307.194860,[0 0 0 0 0 0],[0.9913959  0.9832683  0.9721493  0.9623176  0.94161683 0.94145113],[188 151  30  82   9  85  86 216 463 145  30 112  11  93  81 200 291 173   14  42 185 152  32  81]
1607060307.261529,[0 0 0 0 0 1],[0.9914141  0.9913963  0.97927237 0.93127483 0.92560923 0.96017134],[181 151  33  86   0  75  74 219 464 145  31 113 395 170  28  65 289 176   14  39   0 172  94 169]
1607060307.328190,[0 0 0 0 0 0],[0.9940004  0.98215806 0.97697425 0.9398351  0.9291759  0.91099983],[174 150  37  87 175 150  34  84 465 143  32 114 288 175  14  39   0  55   56 260   0  69  56 231]
1607060307.394860,[0 0 0 0 1],[0.9886635  0.9826391  0.97804695 0.90636677 0.91581225],[168 148  36  90 466 143  34 116 287 175  14  41 166 147  36  93 417 187   53  42]
1607060307.461529,[0 0 0 0 0 0],[0.98848915 0.9724376  0.96194243 0.95177597 0.93071175 0.9129743 ],[160 142  41 102 159 146  42  93 468 138  32 120 285 174  15  39 285 173   14  41 397 168  26  55]
1607060307.528189,[0 0 0 0 0 1],[0.9893836  0.98301065 0.96470904 0.932954   0.9314484  0.9446839 ],[154 140  41 107 152 145  42  97 468 141  34 119 470 139  31 120 283 173   15  41 152 196  40  60]
1607060307.594850,[0 0 0 0 0 0 1 1],[0.9827984  0.98173803 0.9632209  0.9491754  0.9306201  0.92049253 0.94404405 0.9088055 ],[144 142  45 103 148 140  39 107 469 140  35 120 280 172  17  45 470 139   32 120 279 171  18  44 143 197  45  63 139 195  50  64]
1607060307.661530,[0 0 0 0 1],[0.9894863  0.95474297 0.944685   0.90986687 0.9228492 ],[136 138  44 109 471 139  33 121 136 139  45  97 396 167  29  55 132 191   49  71]
1607060307.728189,[0 0 0 0 0 0 1],[0.9948398  0.95842576 0.9302699  0.9252194  0.9129668  0.9033273 0.9653894 ],[125 135  49 102 129 132  47 106 275 169  16  47 472 138  34 123 125 133   48 116 395 167  31  52 123 186  51  81]
1607060307.794849,[0 0 0 0 1],[0.98895615 0.9862499  0.9740906  0.946319   0.9311019 ],[117 128  50 116 118 132  49 119 473 135  33 129 275 168  15  46 112 186   54  83]
1607060307.861520,[0 0 0 0 1],[0.99222535 0.9796442  0.9681978  0.9299867  0.94863653],[106 130  53 125 474 137  33 127 271 170  17  48 272 171  17  45 103 196   55  79]
1607060307.928190,[0 0 0 1],[0.9825068  0.9768816  0.96632046 0.93141156],[100 123  49 138 475 135  33 129 268 169  16  48  80 188  71  93]
1607060307.994849,[0 0 0 0 1 1],[0.9811761  0.9751714  0.96197116 0.960987   0.90759647 0.90090203],[475 134  34 131  82 119  57 147 266 170  17  45 265 169  16  48  77 195   65  90 159 194  47  29]
1607060308.061520,[0 0 0 0 0 0 0 1 1],[0.987678   0.9704689  0.96627754 0.94794077 0.9247071  0.90908563 0.9047568  0.96942997 0.9068896 ],[ 66 115  65 159 475 138  34 126 263 170  18  49  70 117  63 154 264 171   19  46 392 169  41  65 262 170  20  49  60 180  73 114 512 182  35  74]
1607060308.128190,[0 0 0 1 1 1 1],[0.98070014 0.96601707 0.91940475 0.96992505 0.9468983  0.9162836 0.91331786],[ 57 113  63 148 477 138  34 125 568  37  70 276  45 181  75 118 512 181   41  75 157 192  47  31 540 164  99 234]
1607060308.194849,[0 0 0 0 0 1 1],[0.986481   0.9841941  0.9564745  0.9420436  0.9046974  0.94033337 0.93147594],[ 45 108  62 155 479 134  35 128 552  42  88 268 256 168  19  51 257 168   19  49  25 191  86 112 157 193  46  29]
1607060308.261519,[0 0 0 0 0 0 0 1 1],[0.9884941  0.98176175 0.9787049  0.97285426 0.9368769  0.9339785 0.9206909  0.9779196  0.9615023 ],[ 23 101  73 166 479 135  36 129 535  49 105 255 254 167  19  52 397 162   33  73 477 140  41 117 253 168  20  48   3 188  98 121 156 192  47  31]
1607060308.328190,[0 0 0 0 0 0 1 1 1 1 1],[0.99239594 0.9798618  0.97668153 0.97427917 0.950979   0.902688 0.9844855  0.960426   0.92642355 0.9155283  0.90266526],[  7  93  70 181 517  58 114 235 480 133  37 130 250 166  20  53 396 161   32  73   6  95  74 166 499 168 140 198 155 192  47  30   0 196  88 121  247 193  21  33   2 182  83 134]
1607060308.394850,[0 0 0 0 0 0 1 1],[0.97934717 0.97233546 0.9639877  0.94722074 0.94552636 0.90131 0.984022   0.93723774],[497  62 117 226   0  87  64 196 246 166  20  53 248 166  18  50 398 160   31  76 498  58 114 216 489 176 148 181 155 192  47  31]
1607060308.461509,[0 0 1 1 1 1],[0.96035624 0.95951116 0.967501   0.9650512  0.9330909  0.90246964],[488  68 107 208 243 165  22  58 476 176 151 177 154 191  46  32 478 188  147 160 472 167 159 188]
1607060308.528189,[0 0 0 1 1],[0.9743374  0.9447654  0.9369252  0.96412855 0.9515287 ],[240 163  22  58 479  73 100 198 481  70  98 187 467 181 141 164 154 193   47  29]
1607060308.594850,[0 0 0 1 1],[0.9852452 0.9781965 0.960068  0.9540795 0.9332998],[465  72  98 201 237 164  26  57 237 166  27  53 154 192  47  30 455 177  138 163]
1607060308.661510,[0 0 0 0 1 1],[0.9892977 0.9837024 0.9316108 0.9226402 0.9331283 0.9150705],[457  77  91 188 233 163  26  60 459  74  95 197 234 165  27  55 447 189  131 144 155 191  47  30]
1607060308.728179,[0 0 1 1 1],[0.9901348  0.9763496  0.91780937 0.91490906 0.9037422 ],[447  75  90 207 230 162  28  60 155 191  46  30 434 188 132 136 435 172  133 155]
1607060308.794849,[0 0 0 1 1 1],[0.984364   0.94047993 0.9078169  0.93502915 0.9163182  0.9120667 ],[438  82  89 188 227 161  27  59 435  83  92 167 223 193  29  36 155 192   46  29 426 164 129 162]
